Index,Player,PosCount,NegCount,Ratio,CommentStudentizedScore,StatStudentizedScr,Difference
0,Thomas Bryant,1,1,1.0,1.3175108332492402,-1.645910904034905,2.963421737284145
1,Ben Sheppard,3,3,1.0,1.3175108332492402,-0.6477559514902995,1.9652667847395398
2,Jalen Williams,26,29,0.896551724137931,1.0259221934732377,-0.8213481171502308,1.8472703106234685
3,Johnny Furphy,5,5,1.0,1.3175108332492402,-0.3439696615854196,1.6614804948346598
4,Cason Wallace,1,1,1.0,1.3175108332492402,-0.12697945451050535,1.4444902877597456
5,Aaron Wiggins,5,5,1.0,1.3175108332492402,0.0032146697344431884,1.314296163514797
6,James Johnson,35,45,0.7777777777777778,0.6911352366933826,-0.6043579100753167,1.2954931467686994
7,Bennedict Mathurin,36,42,0.8571428571428571,0.9148408068919031,-0.2571735787554539,1.172014385647357
8,T.J. McConnell,12,11,1.0909090909090908,1.5737553954766363,0.4371950838842717,1.1365603115923646
9,Tony Bradley,2,2,1.0,1.3175108332492402,0.22020487680935744,1.0973059564398828
10,Tyrese Haliburton,104,162,0.6419753086419753,0.3083501499092472,-0.5175618272453509,0.8259119771545982
11,Shai Gilgeous-Alexander,50,96,0.5208333333333334,-0.033111546824327806,-0.04018337168053966,0.007071824856211856
12,Obi Toppin,2,3,0.6666666666666666,0.3779474384154536,0.6541852909591859,-0.2762378525437323
13,Andrew Nembhard,12,37,0.32432432432432434,-0.5870095616841108,0.13340879397939173,-0.7204183556635025
14,Pascal Siakam,11,24,0.4583333333333333,-0.20927968335566294,0.914573539449083,-1.123853222804746
15,Jaylin Williams,1,2,0.5,-0.09183425900143957,1.0447676636940315,-1.1366019226954711
16,Alex Caruso,11,21,0.5238095238095238,-0.02472258794188331,1.3051559121839287,-1.329878500125812
17,Isaiah Joe,0,1,0.0,-1.5011793512521194,-0.1703774959254882,-1.3308018553266312
18,Luguentz Dort,5,21,0.23809523809523808,-0.8300626406565575,0.6541852909591859,-1.4842479316157435
19,Dillon Jones,0,1,0.0,-1.5011793512521194,0.4371950838842717,-1.9383744351363912
20,Chet Holmgren,4,19,0.21052631578947367,-0.9077708913570963,1.3485539535989115,-2.2563248449560076
21,Myles Turner,3,11,0.2727272727272727,-0.7324456645699304,2.2599128233135515,-2.992358487883482
